1;Do; ;2;70.3;Notes\2do.png
2;Do #;Re b;2;80.8;Notes\2dod.png
3;Re; ;2;86.7;Notes\2re.png
4;Re #;Mi b;2;93.2;Notes\2red.png
5;Mi; ;2;95.3;Notes\2mi.png
6;Fa; ;2;100.8;Notes\2fa.png
7;Fa #;Sol b;2;109.5;Notes\2fad.png
8;Sol; ;2;115.5;Notes\2sol.png
9;Sol # ;La b;2;120.6;Notes\2sold.png
10;La; ;2;130.81;Notes\2la.png
11;La #;Si b;2;138.59;Notes\2lad.png
12;Si; ;2;146.83;Notes\2si.png
13;Do; ;3;155.56;Notes\3do.png
14;Do #;Re b;3;164.81;Notes\3red.png
15;Re; ;3;174.61;Notes\3re.png
16;Re #;Mi b;3;185;Notes\3red.png
17;Mi; ;3;196;Notes\3mi.png
18;Fa; ;3;207.65;Notes\3fa.png
19;Fa #;Sol b;3;220;Notes\3fad.png
20;Sol; ;3;233.08;Notes\3sol.png
21;Sol # ;La b;3;246.94;Notes\3sold.png
22;La; ;3;261.63;Notes\3la.png
23;La #;Si b;3;277.18;Notes\3lad.png
24;Si; ;3;293.66;Notes\3si.png
25;Do; ;4;311.13;Notes\4do.png
26;Do #;Re b;4;329.63;Notes\4dod.png
27;Re; ;4;349.23;Notes\4re.png
28;Re #;Mi b;4;369.99;Notes\4red.png
29;Mi; ;4;380.4;Notes\4mi.png
30;Fa; ;4;403.7;Notes\4fa.png
31;Fa #;Sol b;4;405.6;Notes\4fad.png
32;Sol; ;4;410.5;Notes\4sol.png
33;Sol # ;La b;4;420.4;Notes\4sold.png
34;La; ;4;439.5;Notes\4la.png
35;La #;Si b;4;450.1;Notes\4lad.png
36;Si; ;4;495.1;Notes\4si.png
37;Do; ;5;521.5;Notes\5do.png
38;Do #;Re b;5;556.6;Notes\5dod.png
39;Re; ;5;585.9;Notes\5re.png
40;Re #;Mi b;5;621.1;Notes\5red.png
41;Mi; ;5;659.2;Notes\5mi.png
42;Fa; ;5;700.0;Notes\5fa.png
43;Fa #;Sol b;5;738.3;Notes\5fad.png
44;Sol; ;5;782.2;Notes\5sol.png
45;Sol # ;La b;5;832.0;Notes\5sold.png
46;La; ;5;934.6;Notes\5la.png
47;La #;Si b;5;990.2;Notes\5lad.png
48;Si; ;5;1051.8;Notes\5si.png
49;Do; ;6;1110.4;Notes\6do.png
50;Do #;Re b;6;1180.7;Notes\6dod.png
51;Re; ;6;1253.9;Notes\6re.png
52;Re #;Mi b;6;1324.2;Notes\6red.png
53;Mi; ;6;1394.5;Notes\6mi.png
54;Fa; ;6;1476.6;Notes\6fa.png
55;Fa #;Sol b;6;1573.2;Notes\6fad.png
